longitude,Z,,,,,,,,,,
degrees_east,m,,y_n*cos(2pi/360*x_n),y_n*sin(2pi/360*x_n),,Model 1,,y_n*cos(2*PI()*2/360*A3),y_n*sin(2*2*PI()/360*A3),,Model 2
146,5606.06,,-4647.634374,3134.868968,,5685.269369,,2100.067039,-5197.84832,,5617.791648
147,5598.9,,-4695.632643,3049.379493,,5686.165522,,2277.277791,-5114.849663,,5619.368727
148,5592.92,,-4743.065158,2963.796051,,5687.03852,,2451.774754,-5026.883197,,5621.004033
149,5587.86,,-4789.730873,2877.960657,,5687.888099,,2623.341367,-4933.787536,,5622.696373
150,5583.52,,-4835.470163,2791.76,,5688.713999,,2791.76,-4835.470163,,5624.44446
151,5580.1797,,-4880.535135,2705.324801,,5689.515969,,2957.044721,-4732.260771,,5626.246919
152,5578,,-4925.081673,2618.712377,,5690.293764,,3119.178016,-4624.37158,,5628.102287
153,5576.38,,-4968.590961,2531.623543,,5691.047148,,3277.713925,-4511.386187,,5630.009015
154,5574.46,,-5010.291459,2443.682423,,5691.775892,,3431.980268,-4392.734426,,5631.965467
155,5572.2397,,-5050.164231,2354.930256,,5692.479772,,3581.766637,-4268.583258,,5633.969926
156,5570.4,,-5088.813617,2265.685797,,5693.158575,,3727.32513,-4139.613936,,5636.020593
157,5569.1396,,-5126.420031,2176.036201,,5693.812094,,3868.649439,-4006.103768,,5638.11559
158,5567.92,,-5162.485528,2085.779544,,5694.440129,,4005.226461,-3867.802234,,5640.252962
159,5566.4,,-5196.682086,1994.819354,,5695.042491,,4136.641357,-3724.648607,,5642.430677
160,5564.9,,-5229.295465,1903.307896,,5695.618994,,4262.960722,-3577.048769,,5644.646634
161,5563.6396,,-5260.52459,1811.343877,,5696.169464,,4384.207834,-3425.318564,,5646.89866
162,5562.3,,-5290.061661,1718.845228,,5696.693733,,4499.995228,-3269.437909,,5649.184513
163,5560.6797,,-5317.704443,1625.785403,,5697.19164,,4610.0124,-3109.492627,,5651.501888
164,5559.62,,-5344.24975,1532.438956,,5697.663036,,4714.825156,-2946.14974,,5653.848417
165,5559.94,,-5370.489639,1439.018362,,5698.107775,,4815.049284,-2779.97,,5656.22167
166,5561.32,,-5396.125028,1345.405076,,5698.525722,,4910.354107,-2610.881592,,5658.619164
167,5563.4,,-5420.810418,1251.492696,,5698.916751,,5000.350797,-2438.834038,,5661.038359
168,5567.76,,-5446.091085,1157.602396,,5699.280741,,5086.401857,-2264.612012,,5663.476665
169,5574.4,,-5471.982571,1063.645664,,5699.617583,,5168.493679,-2088.206994,,5665.931443
170,5580.28,,-5495.503008,969.0054529,,5699.927173,,5243.747938,-1908.568165,,5668.400012
171,5587.3,,-5518.511065,874.0462865,,5700.209417,,5313.838073,-1726.570653,,5670.879645
172,5598.52,,-5544.035588,779.1633892,,5700.464229,,5381.64283,-1543.161249,,5673.367581
173,5611.12,,-5569.295562,683.8235102,,5700.691532,,5444.445756,-1357.452787,,5675.86102
174,5622.7197,,-5591.917853,587.7342496,,5700.891257,,5499.849784,-1169.02916,,5678.357133
175,5634.8,,-5613.357885,491.1051792,,5701.063341,,5549.194727,-978.4727515,,5680.853061
176,5648.6997,,-5634.939751,394.0333723,,5701.207734,,5593.726943,-786.1470536,,5683.345919
177,5663.2197,,-5655.458454,296.3900184,,5701.324391,,5632.19599,-591.9676524,,5685.832804
178,5676.1,,-5672.642273,198.0930332,,5701.413277,,5662.273306,-395.9447206,,5688.310792
179,5686.38,,-5685.513937,99.24101492,,5701.474364,,5682.916011,-198.4518001,,5690.776944
180,5695,,-5695,6.97722E-13,,5701.507633,,5695,-1.39544E-12,,5693.228312
181,5703.02,,-5702.151402,-99.53142296,,5701.513076,,5699.545874,199.0325277,,5695.66194
182,5710.6997,,-5707.220896,-199.3005453,,5701.49069,,5696.788723,398.3582737,,5698.074868
183,5717.84,,-5710.003899,-299.248624,,5701.440481,,5686.517074,597.6770284,,5700.464136
184,5724.6997,,-5710.754619,-399.3348643,,5701.362466,,5668.987316,796.7242093,,5702.826786
185,5731.6797,,-5709.868928,-499.5488014,,5701.256668,,5644.602606,995.2957349,,5705.159869
186,5738.7397,,-5707.302283,-599.8616419,,5701.123119,,5613.334469,1193.151074,,5707.460446
187,5745.54,,-5702.713616,-700.2051873,,5700.96186,,5574.872907,1389.971928,,5709.725591
188,5752.04,,-5696.061542,-800.5292436,,5700.772939,,5529.215726,1585.477096,,5711.952399
189,5758.2397,,-5687.346214,-900.787147,,5700.556416,,5476.411389,1779.393925,,5714.137982
190,5763.98,,-5676.412192,-1000.904623,,5700.312354,,5416.369472,1971.397266,,5716.279481
191,5768.94,,-5662.948324,-1100.765646,,5700.04083,,5348.868026,2161.082961,,5718.374063
192,5773.1797,,-5647.021872,-1200.311553,,5699.741925,,5274.062091,2348.163731,,5720.418929
193,5776.98,,-5628.916377,-1299.537742,,5699.415731,,5192.31523,2532.461348,,5722.411314
194,5780.5,,-5608.794446,-1398.429518,,5699.062347,,5103.878561,2713.780369,,5724.348491
195,5783.6196,,-5586.547541,-1496.910902,,5698.68188,,5008.761499,2891.8098,,5726.227779
196,5786.2197,,-5562.071362,-1594.898298,,5698.274447,,4906.992601,3066.229286,,5728.046541
197,5788.36,,-5535.436197,-1692.352681,,5697.840171,,4798.767923,3236.809835,,5729.802187
198,5789.96,,-5506.579187,-1789.196037,,5697.379186,,4684.176037,3403.253099,,5731.492182
199,5790.76,,-5475.271147,-1885.287046,,5696.89163,,4563.181152,3565.147845,,5733.114046
200,5790.92,,-5441.684792,-1980.611288,,5696.377654,,4436.102087,3722.331625,,5734.665357
201,5790.82,,-5406.196205,-2075.24429,,5695.837413,,4303.417918,3874.814898,,5736.143757
202,5790.6597,,-5369.006181,-2169.219304,,5695.271072,,4165.451992,4022.530231,,5737.546949
203,5790.2397,,-5329.943747,-2262.426892,,5694.678803,,4022.238475,4165.14987,,5738.872707
204,5789.44,,-5288.916614,-2354.777391,,5694.060787,,3873.891498,4302.392378,,5740.118874
205,5788.48,,-5246.144499,-2446.317356,,5693.417212,,3720.763223,4434.232938,,5741.283368
206,5787.8,,-5202.040181,-2537.204523,,5692.748274,,3563.325487,4560.84864,,5742.364181
207,5787.6997,,-5156.878193,-2627.560679,,5692.054178,,3401.924528,4682.347416,,5743.359386
208,5788.56,,-5110.995118,-2717.564309,,5691.335134,,3236.921673,4798.933731,,5744.267136
209,5790.44,,-5064.432937,-2807.261017,,5690.591361,,3068.465704,4910.571618,,5745.085667
210,5792.7397,,-5016.659738,-2896.36985,,5689.823086,,2896.36985,5016.659738,,5745.813304
211,5794.36,,-4966.73592,-2984.31602,,5689.030543,,2720.287245,5116.116214,,5746.448457
212,5794.44,,-4913.96381,-3070.585381,,5688.213973,,2540.115308,5208.008174,,5746.989629
213,5792.76,,-4858.217319,-3154.963216,,5687.373625,,2356.127757,5291.949585,,5747.435414
214,5789.32,,-4799.5638,-3237.34666,,5686.509756,,2168.717443,5367.764033,,5747.7845
215,5784.02,,-4737.991807,-3317.577579,,5685.622628,,1978.251349,5435.200912,,5748.035675
216,5777.2397,,-4673.885098,-3395.776295,,5684.712511,,1785.265248,5494.481463,,5748.18782
217,5769.76,,-4607.93522,-3472.328248,,5683.779683,,1590.36139,5546.249283,,5748.239918
218,5762.02,,-4540.533722,-3547.453734,,5682.824428,,1393.958801,5590.863381,,5748.191055
219,5753.84,,-4471.573519,-3621.008839,,5681.847037,,1196.290603,5628.104791,,5748.040417
220,5744.96,,-4400.894684,-3692.789106,,5680.847807,,997.6018348,5657.681149,,5747.787293
221,5735.54,,-4328.666986,-3762.852803,,5679.827043,,798.2328875,5679.722119,,5747.43108
222,5725.92,,-4255.187819,-3831.388322,,5678.785056,,598.5216184,5694.552811,,5746.971279
223,5716.06,,-4180.46164,-3898.343546,,5677.722163,,398.7321893,5702.135965,,5746.407498
224,5705.98,,-4104.538514,-3963.706769,,5676.638688,,199.1358302,5702.504071,,5745.739452
225,5696.04,,-4027.70851,-4027.70851,,5675.534962,,1.74462E-12,5696.04,,5744.966965
226,5686.3,,-3950.035892,-4090.381907,,5674.411319,,-198.4490081,5682.83606,,5744.089971
